Task Desc,group,response_rate,accurracy,f1,auc
"Task 0: No Sense, F:0 1; M 0 1",female,1.0,0.7233009708737864,0.8394366197183099,0.4869281045751634
"Task 0: No Sense, F:0 1; M 0 1",male,1.0,0.6382978723404256,0.7792207792207793,0.4918032786885246
"Task 0: No Sense, F:0 1; M 0 1",overall,1.0,0.6966666666666667,0.8212180746561886,0.4883177570093458
"Task 1: With Sense, F:0 1; M 0 1",female,1.0,0.7135922330097088,0.829971181556196,0.49889012208657046
"Task 1: With Sense, F:0 1; M 0 1",male,1.0,0.648936170212766,0.7843137254901961,0.5069547938400397
"Task 1: With Sense, F:0 1; M 0 1",overall,1.0,0.6933333333333334,0.816,0.49989132797217994
"Task 2: With Sense, F:1 1; M 0 0",female,1.0,0.6699029126213593,0.7964071856287425,0.4818103341965717
"Task 2: With Sense, F:1 1; M 0 0",male,1.0,0.6382978723404256,0.7605633802816901,0.533532041728763
"Task 2: With Sense, F:1 1; M 0 0",overall,1.0,0.66,0.7857142857142857,0.5008693762225603
"Task 3: With Sense, F:0 0; M 1 1",female,1.0,0.5485436893203883,0.6690391459074733,0.4864348255025281
"Task 3: With Sense, F:0 0; M 1 1",male,1.0,0.6063829787234043,0.704,0.557625434674615
"Task 3: With Sense, F:0 0; M 1 1",overall,1.0,0.5666666666666667,0.6798029556650246,0.508476418169963
"Task 4: With Sense, F:0 0; F 1 1",female,1.0,0.5825242718446602,0.7133333333333334,0.4723147120483413
"Task 4: With Sense, F:0 0; F 1 1",male,1.0,0.5212765957446809,0.6153846153846154,0.4920516641828117
"Task 4: With Sense, F:0 0; F 1 1",overall,1.0,0.5633333333333334,0.6858513189448441,0.48527494023038475
"Task 5: With Sense, M:0 0; M 1 1",female,1.0,0.44660194174757284,0.5327868852459017,0.46713528178567026
"Task 5: With Sense, M:0 0; M 1 1",male,1.0,0.5106382978723404,0.5964912280701754,0.49080973671137607
"Task 5: With Sense, M:0 0; M 1 1",overall,1.0,0.4666666666666667,0.553072625698324,0.46968050423820906
