Target 1,Target 2,Attribute 1,Attribute 2,Effect size,P-value
flowers,insects,pleasant,unpleasant,0.6350578671923087,0.0
instruments,weapons,pleasant,unpleasant,0.5406080961671011,0.0
european_3,african_3,pleasant_3,unpleasant_3,0.30610751590397545,2.9657984255947997e-239
european_4,african_4,pleasant_3,unpleasant_3,0.49712444346240775,0.0
european_4,african_4,pleasant_5,unpleasant_5,0.0899537137695561,2.499124305243694e-12
male,female,career,family,0.4044389462286458,4.997113798601962e-156
math,arts,male_term,female_term,0.19223958737810704,7.483807527565983e-29
science,arts_8,male_term_8,female_term_8,0.15977686329725999,9.666228824652428e-23
mental_disease,physical_disease,temporary,permanent,0.3821697987329977,2.662816017172601e-101
young_name,old_name,pleasant_5,unpleasant_5,0.09728440819978539,2.2886586619874003e-09
african_female,european_male,af_bias,em_bias_foraf,0.9831307289091008,0.0
african_female,european_male,af_unique_bias,em_unique_bias_foraf,1.0100456235683855,0.0
mexican_female,european_male,lf_bias,em_bias_forlf,0.5135586969449624,0.0
mexican_female,european_male,lf_unique_bias,em_unique_bias_foraf,0.5948732225135871,0.0
